word,n,percentage
systems,824,1.7612859097127225
human,730,1.5603625170998632
paragraph,597,1.276077291381669
text,487,1.040954172366621
weapon,474,1.0131668946648427
weapons,459,0.9811046511627907
ihl,439,0.9383549931600547
chair,432,0.9233926128590971
autonomous,424,0.9062927496580028
laws,372,0.7951436388508892
control,371,0.7930061559507524
delegations,340,0.7267441860465116
system,340,0.7267441860465116
international,332,0.7096443228454172
characterization,308,0.658344733242134
law,286,0.6113201094391245
lethal,267,0.5707079343365253
support,238,0.5087209302325582
delegation,235,0.5023084815321478
including,228,0.48734610123119015
discussion,200,0.4274965800273598
section,197,0.42108413132694933
language,192,0.4103967168262654
discussions,187,0.39970930232558144
instrument,185,0.3954343365253078
view,179,0.382609439124487
ensure,170,0.3633720930232558
measures,169,0.361234610123119
definition,167,0.35695964432284544
scope,163,0.34840971272229826
elements,162,0.34627222982216144
specific,161,0.3441347469220246
intervention,157,0.33558481532147744
context,148,0.31634746922024626
time,141,0.30138508891928867
prohibitions,133,0.28428522571819426
gge,132,0.28214774281805743
legal,131,0.28001025991792067
floor,128,0.27359781121751026
compliance,124,0.2650478796169631
issue,123,0.26291039671682626
attack,122,0.2607729138166895
consensus,121,0.25863543091655267
proposal,121,0.25863543091655267
understanding,121,0.25863543091655267
comments,116,0.24794801641586867
footnote,115,0.2458105335157319
understand,114,0.24367305061559508
word,114,0.24367305061559508
approach,113,0.24153556771545828
