word,n,percentage
systems,1415,2.912481475382842
weapons,1308,2.6922443602832207
autonomous,632,1.3008397826444922
ihl,629,1.2946649102585217
human,613,1.2617322575333445
laws,438,0.9015313683517208
chair,418,0.8603655524452495
international,342,0.7039354520006587
control,333,0.6854108348427466
law,312,0.6421867281409518
measures,301,0.6195455293923926
delegations,547,1.1258850650419892
definition,273,0.5619133871233328
discussions,516,1.062078050386959
bullet,268,0.551621933146715
gge,243,0.5001646632636259
question,229,0.471348592129096
autonomy,215,0.4425325209945661
risks,407,0.8377243536966902
lethal,210,0.4322410670179483
specific,199,0.4095998682693891
context,197,0.405483286678742
approach,195,0.4013667050880948
instrument,193,0.3972501234974477
functions,187,0.3849003787255063
intervention,180,0.3704923431582414
elements,176,0.3622591799769471
time,171,0.3519677260003293
view,162,0.3334431088424172
legal,161,0.3313848180470937
principles,154,0.3169767824798287
technologies,153,0.3149184916845052
including,150,0.3087436192985345
force,148,0.3046270377078873
compliance,145,0.2984521653219166
understanding,145,0.2984521653219166
related,143,0.2943355837312695
operator,141,0.2902190021406224
regard,139,0.2861024205499752
support,139,0.2861024205499752
development,135,0.277869257368681
existing,135,0.277869257368681
humanitarian,133,0.2737526757780339
mandate,132,0.2716943849827103
ensure,129,0.2655195125967396
